,position,mean_error,root_mean_squared_error,mean_absolute_error
0,Secretary of the Interior,-4.682498896966672,11.078066790556973,8.726236805105291
1,Secretary of the Treasury,-4.210181656340753,11.93054246150237,9.28968192715099
2,Secretary of Homeland Security,5.105519958050304,12.202512869321884,10.717585230180667
3,Secretary of Health & Human Services,-0.36199134583440373,12.46434140849947,9.675191465734976
4,Secretary of Transportation,-1.1985075510672323,12.89443572523975,10.936224841810002
5,Secretary of Housing & Urban Development,-2.0552362464071914,13.41132993995102,11.567369388160316
6,Secretary of Education,-7.650621730182672,16.257553388545773,14.10451076013427
7,Secretary of Energy,-3.6270494299489378,17.392266161156986,14.823432898798695
8,Secretary of State,-1.8321910572336506,18.24407010236642,14.027588872343305
9,Secretary of Defense,-6.341147939359013,18.429225425215826,15.048052157376878
10,Secretary of Agriculture,1.1035471785866855,18.567291856538194,15.40632941407924
11,Secretary of Veterans Affairs,0.5425386671724475,18.97104224428102,16.83752495779302
12,Secretary of Commerce,2.0167098167421704,25.28287353288344,17.726132874894557
13,Secretary of Labor,2.250268026143596,26.99968993108996,19.15845063439753
14,Attorney General,16.64154385443729,100.8957510665675,49.26880920540074
